short reference,DOI,authors,title,journal,year
"JOENS, 2009",https://doi.org/10.1007/s00410-008-0357-2,"JOENS, N; BACH, W; SCHROEDER, T",FORMATION AND ALTERATION OF PLAGIOGRANITES IN AN ULTRAMAFIC-HOSTED DETACHMENT FAULT AT THE MID-ATLANTIC RIDGE (ODP LEG 209),CONTRIB MINERAL PETROL,2009
"CHOI, 2012",https://doi.org/10.1016/j.lithos.2012.07.017,"CHOI, S-H; MUKASA, S B",Lu-Hf AND Sm-Nd ISOTOPE SYSTEMATICS OF KOREAN SPINEL PERIDOTITES: A CASE FOR METASOMATICALLY INDUCED Nd-Hf DECOUPLING,LITHOS,2012
"NIU, 2001",https://doi.org/10.1016/S0012-821X(01)00255-2,"NIU, Y; BIDEAU, R D; HEKINIAN, R; BATIZA, R","MANTLE COMPOSITIONAL CONTROL ON THE EXTENT OF MANTLE MELTING, CRUST PRODUCTION, GRAVITY ANOMALY, RIDGE MORPHOLOGY, AND RIDGE SEGMENTATION: A CASE STUDY AT THE MID-ATLANTIC RIDGE 3-35 DEG N",EARTH PLANET SCI LETT,2001
"NIU, 1997",https://doi.org/10.1016/S0012-821X(97)00048-4,"NIU, Y; BATIZA, R",TRACE ELEMENT EVIDENCE FROM SEAMOUNTS FOR RECYCLED OCEANIC CRUST IN THE EASTERN PACIFIC MANTLE,EARTH PLANET SCI LETT,1997
"NIU, 1997",https://doi.org/10.1016/S0012-821X(96)00218-X,"NIU, Y; HEKINIAN, R",BASALTIC LIQUIDS AND HARZBURGITIC RESIDUES IN THE GARRETT TRANSFORM: A CASE STUDY AT FAST-SPREADING RIDGES,EARTH PLANET SCI LETT,1997
"PEARCE, 2005",https://doi.org/10.1029/2004gc000895,"PEARCE, J A; STERN, R J; BLOOMER, S H; FRYER, P",GEOCHEMICAL MAPPING OF THE MARIANA ARC-BASIN SYSTEM: IMPLICATIONS FOR THE NATURE AND DISTRIBUTION OF SUBDUCTION COMPONENTS,GEOCHEM GEOPHYS GEOSYST,2005
"WARREN, 2009",https://doi.org/10.1029/2008jb006186,"WARREN, J M; SHIMIZU, N; SAKAGUCHI, C; DICK, H J B; NAKAMURA, E",AN ASSESSMENT OF UPPER MANTLE HETEROGENEITY BASED ON ABYSSAL PERIDOTITE ISOTOPIC COMPOSITIONS,J GEOPHYS RES,2009
"ROHDE, 2013",https://doi.org/10.1130/g33790.1,"ROHDE, J; HOERNLE, K; HAUFF, F; WHITE, R V; O'CONNOR, J; CLASS, C; SHUSTER, R; JOKAT, W",70 MA CHEMICAL ZONATION OF THE TRISTAN-GOUGH HOTSPOT TRACK,GEOLOGY,2013
"REYES, 2019",https://doi.org/10.1016/j.gca.2019.05.004,"REYES, J; LARA, L; HAUFF, F; HOERNLE, K; MORATA, D; SELLES, D; COOPER, O","PETROGENESIS OF SHIELD VOLCANISM FROM THE JUAN FERNÁNDEZ RIDGE, SOUTHEAST PACIFIC: MELTING OF A LOW-TEMPERATURE PYROXENITE-BEARING MANTLE PLUME",GEOCHIMICA ET COSMOCHIMICA ACTA,2019
"ALDANMAZ, 2006",https://doi.org/10.2747/0020-6814.48.5.420,"ALDANMAZ, E; KOPRUBASI, N","PLATINUM-GROUP-ELEMENT SYSTEMATICS OF PERIDOTITES FROM OPHIOLITE COMPLEXES OF NORTHWEST ANATOLIA, TURKEY: IMPLICATIONS FOR MANTLE METASOMATISM BY MELT PERCOLATION IN A SUPRA-SUBDUCTION ZONE ENVIRONMENT",INT GEOL REV,2006
"TIMMERMANS, 2020",https://doi.org/10.1130/ges01535.1,"TIMMERMANS, A; COUSENS, B L; HENRY, C","GEOCHEMICAL STUDY OF CENOZOIC MAFIC VOLCANISM IN THE WEST-CENTRAL GREAT BASIN, WESTERN NEVADA, AND THE ANCESTRAL CASCADES ARC, CALIFORNIA",GEOSPHERE,2020
"WANG, 2021",https://doi.org/10.1016/j.gca.2020.10.003,"WANG, YONGFENG; QIN, J-Y; SOUSTELLE, V; ZHANG, J-F; XU, H J",PYROXENE DOES NOT ALWAYS PRESERVE ITS SOURCE HYDROGEN CONCENTRATION: CLUES FROM SOME PERIDOTITE XENOLITHS,GEOCHIMICA ET COSMOCHIMICA ACTA,2021
"WANG, 2021",https://doi.org/10.1016/j.lithos.2021.106520,"WANG, SHIFENG; FU, X; LIU, YIDUO; FAN, SUOYA; WANG, J; WU, Z",BITU OPHIOLITE IN EASTERN TIBET: THE LAST PIECE OF THE JIGSAW PUZZLE IN THE PALEOTETHYAN REGIME ALONG THE EASTERN CIMMERIAN CONTINENTAL MARGIN,LITHOS,2021
"REEKIE, 2019",https://doi.org/10.1038/s41467-018-08001-3,"REEKIE, C; JENNER, F E; SMYTHE, D; HAURI, E H; BULLOCK, E; WILLIAMS, H M",SULFIDE RESORPTION DURING CRUSTAL ASCENT AND DEGASSING OF OCEANIC PLATEAU BASALTS,NATURE COMMUNICATIONS,2019
"GYSI, 2011",https://doi.org/10.1093/petrology/egr026,"GYSI, A; JAGOUTZ, O; SCHMIDT, M W; TARGUISTI, K","PETROGENESIS OF PYROXENITES AND MELT INFILTRATIONS IN THE ULTRAMAFIC COMPLEX OF BENI BOUSERA, NORTHERN MOROCCO",J PETROL,2011
"CHENG, 2018",https://doi.org/10.1016/j.epsl.2018.02.039,"CHENG, Z; ZHANG, Z; XIE, Q; HOU, T; KE, S",SUBDUCTED SLAB-PLUME INTERACTION TRACED BY MAGNESIUM ISOTOPES IN THE NORTHERN MARGIN OF THE TARIM LARGE IGNEOUS PROVINCE,EARTH AND PLANETARY SCIENCE LETTERS,2018
"ZHAO, 2007",https://doi.org/10.1111/j.1525-1314.2007.00691.x,"ZHAO, R; ZHANG, R Y; LIOU, J; BOOTH, A L; POPE, E C; CHAMBERLAIN, C","PETROCHEMISTRY, OXYGEN ISOTOPES AND U-PB SHRIMP GEOCHRONOLOGY OF MAFIC-ULTRAMAFIC BODIES FROM THE SULU UHP TERRANE, CHINA",J METAMORPHIC GEOL,2007
"FONTIGNIE, 1991",https://doi.org/10.1016/0009-2541(91)90018-M,"FONTIGNIE, D; SCHILLING, J-G",87SR/86SR AND REE VARIATIONS ALONG THE EASTER MICROPLATE BOUNDARIES (SOUTH PACIFIC): APPLICATION OF MULTIVARIATE STATISTICAL ANALYSES TO RIDGE SEGMENTATION,CHEMICAL GEOLOGY,1991
"HARPP, 2020",https://doi.org/10.1029/2019gc008887,"HARPP, K S; WEIS, D",INSIGHTS INTO THE ORIGINS AND COMPOSITIONS OF MANTLE PLUMES: A COMPARISON OF GALÁPAGOS AND HAWAI'I,"GEOCHEMISTRY, GEOPHYSICS, GEOSYSTEMS",2020
"BRANDL, 2012",https://doi.org/10.1016/j.chemgeo.2011.12.015,"BRANDL, P A; BEIER, C; REGELOUS, M; ABOUCHAMI, W; HAASE, K M; GARBE-SCHÖNBERG, D; GALER, S J G",VOLCANISM ON THE FLANKS OF THE EAST PACIFIC RISE: QUANTITATIVE CONSTRAINTS ON MANTLE HETEROGENEITY AND MELTING PROCESSES,CHEMICAL GEOLOGY,2012
"HAUFF, 2000",https://doi.org/10.1029/1999gc000020,"HAUFF, F; HOERNLE, K; VAN DEN BOGAARD, P; ALVARADO, G E; GARBE-SCHÖNBERG, D",AGE AND GEOCHEMISTRY OF BASALTIC COMPLEXES IN WESTERN COSTA RICA: CONTRIBUTIONS TO THE GEOTECTONIC EVOLUTION OF CENTRAL AMERICA,GEOCHEM GEOPHYS GEOSYST,2000
"BORGHINI, 2016",https://doi.org/10.1093/petrology/egv074,"BORGHINI, G; RAMPONE, E; ZANETTI, A; CLASS, C; CIPRIANI, A; HOFMANN, A W; GOLDSTEIN, S L",PYROXENITE LAYERS IN THE NORTHERN APENNINES' UPPER MANTLE (ITALY)-GENERATION BY PYROXENITE MELTING AND MELT INFILTRATION,J PETROL,2016
"COUSENS, 2017",https://doi.org/10.1016/j.gca.2017.06.032,"COUSENS, B L; WEIS, D; CONSTANTIN, M; SCOTT, S D","RADIOGENIC ISOTOPES IN ENRICHED MID-OCEAN RIDGE BASALTS FROM EXPLORER RIDGE, NORTHEAST PACIFIC OCEAN",GCA,2017
"ECCLES, 2010",https://doi.org/10.1016/j.precamres.2010.01.006,"ECCLES, D; SIMONETTI, S S; COX, R J",GARNET PYROXENITE AND GRANULITE XENOLITHS FROM NORTHEASTERN ALBERTA: EVIDENCE OF -1.5 Ga LOWER CRUST AND MANTLE IN WESTERN LAURENTIA,PRECAMBRIAN RESEARCH,2010
"SCHILLING, 1982",https://doi.org/10.1029/JB087iB07p05593,"SCHILLING, J-G; KINGSLEY, R H; DEVINE, J D",GALAPAGOS HOT SPOT SPREADING CENTER SYSTEM 1. SPATIAL PETROLOGICAL AND GEOCHEMICAL VARIATIONS (83 DEGREE W-101 DEGREE W),J GEOPHYS RES,1982
"KEPEZHINSKAS, 2020",https://doi.org/10.1016/j.lithos.2019.105306,"KEPEZHINSKAS, P; KAMENOV, G D; FOSTER, D A; KEPEZHINSKAS, P","PETROLOGY AND GEOCHEMISTRY OF ALKALINE BASALTS AND GABBROIC XENOLITHS FROM UTILA ISLAND (BAY ISLANDS, HONDURAS): INSIGHTS INTO BACK - ARC PROCESSES IN THE CENTRAL AMERICAN VOLCANIC ARC",LITHOS,2020
"HOMRIGHAUSEN, 2018",https://doi.org/10.1016/j.epsl.2018.03.049,"HOMRIGHAUSEN, S; HOERNLE, K; GELDMACHER, J; WARTHO, J-A; HAUFF, F; PORTNYAGIN, M; WERNER, R; VAN DEN BOGAARD, P; GARBE-SCHÖNBERG, D",UNEXPECTED HIMU-TYPE LATE-STAGE VOLCANISM ON THE WALVIS RIDGE,EARTH AND PLANETARY SCIENCE LETTERS,2018
"HOMRIGHAUSEN, 2018",https://doi.org/10.1016/j.earscirev.2018.04.009,"HOMRIGHAUSEN, S; HOERNLE, K; HAUFF, F; GELDMACHER, J; WARTHO, J-A; VAN DEN BOGAARD, P; GARBE-SCHÖNBERG, D",GLOBAL DISTRIBUTION OF THE HIMU END MEMBER: FORMATION THROUGH ARCHEAN PLUME-LID TECTONICS,EARTH-SCIENCE REVIEWS,2018
"SIMON, 2014",https://doi.org/10.1016/j.jvolgeores.2014.09.003,"SIMON, A; YOGODZINSKI, G; ROBERTSON, K; SMITH, E; SELYANGIN, O; KIRYUKHIN, A; MULCAHY, S R; WALKER, J D","EVOLUTION AND GENESIS OF VOLCANIC ROCKS FROM MUTNOVSKY VOLCANO, KAMCHATKA",J VOLCANOL GEOTHERM RES,2014
"HATTORI, 2010",https://doi.org/10.1111/j.1440-1738.2009.00696.x,"HATTORI, K H; WALLIS, S; ENAMI, M; MIZUKAMI, T",SUBDUCTION OF MANTLE WEDGE PERIDOTITES: EVIDENCE FROM THE HIGASHI-AKAISHI ULTRAMAFIC BODY IN THE SANBAGAWA METAMORPHIC BELT,ISLAND ARC,2010
"HATTORI, 2010",https://doi.org/10.1016/j.lithos.2009.10.010,"HATTORI, K H; GUILLOT, S; SAUMER, B-M; TUBRETT, M; VIDAL, P; MORFIN, S",CORUNDUM-BEARING GARNET PERIDOTITE FROM NORTHERN DOMINICAN REPUBLIC: A METAMORPHIC PRODUCT OF AN ARC CUMULATE IN THE CARIBBEAN SUBDUCTION ZONE,LITHOS,2010
"TOLLSTRUP, 2010",https://doi.org/10.1029/2009gc002847,"TOLLSTRUP, D; GILL, J B; KENT, A J R; PRINKEY, D; WILLIAMS, R; TAMURA, Y; ISHIZUKA, O","ACROSS-ARC GEOCHEMICAL TRENDS IN THE IZU-BONIN ARC: CONTRIBUTIONS FROM THE SUBDUCTING SLAB, REVISITED",GEOCHEM GEOPHYS GEOSYST,2010
"HOERNLE, 2016",https://doi.org/10.1130/G37582.1,"HOERNLE, K; SCHWINDROFSKA, A; WERNER, R; BOGAARD, P; HAUFF, F; UENZELMANN-NEBEN, G",TECTONIC DISSECTION AND DISPLACEMENT OF PARTS OF THE SHONA HOSTSPOT VOLCANO 3500 KM ALONG THE AGULAS-FALKLAND FRACTURE ZONE,GEOLOGY,2016
"GONZALEZ-JIMENEZ, 2014",https://doi.org/10.1007/s00410-014-1047-x,"GONZALEZ-JIMENEZ, J; VILLASECA, C; GRIFFIN, W L; OREILLY, S Y; BELOUSOVA, E; ANCOCHEA, E; PEARSON, N J","SIGNIFICANCE OF ANCIENT SULFIDE PGE AND Re-Os SIGNATURES IN THE MANTLE BENEATH CALATRAVA, CENTRAL SPAIN",CONTRIB MINERAL PETROL,2014
"POLLOCK, 2009",https://doi.org/10.1029/2007jb005436,"POLLOCK, M A; KLEIN, E M; KARSON, J A; COLEMAN, D S",COMPOSITIONS OF DIKES AND LAVAS FROM THE PITO DEEP RIFT:  IMPLICATIONS FOR CRUSTAL ACCRETION AT SUPERFAST SPREADING CENTERS,J GEOPHYS RES,2009
"CHAUVEL, 1997",https://doi.org/10.1016/S0009-2541(97)00029-6,"CHAUVEL, C; MCDONOUGH, W F; GUILLE, G; MAURY, R C; DUNCAN, R A","CONTRASTING OLD AND YOUNG VOLCANISM IN RURUTU ISLAND, AUSTRAL CHAIN",CHEMICAL GEOLOGY,1997
"CAZENAVE, 2015",https://doi.org/10.1016/j.gca.2014.12.023,"CAZENAVE, A; REN, Z-Y; NICHOLS, A; SONG, M-S; QIAN, S-P; ZHANG, Y; ZHAO, P-P",PETROGENESIS OF LATE CENOZOIC BASALTS FROM NORTH HAINAN ISLAND: CONSTRAINTS FROM MELT INCLUSIONS AND THEIR HOST OLIVINES,GEOCHIM COSMOCHIM ACTA,2015
"ZHANG, 2020",https://doi.org/10.1016/j.lithos.2020.105819,"ZHANG, C; LI, C; JI, W-B; LIU, T; WU, F-Y",HETEROGENEOUS SUB-RIDGE MANTLE OF THE NEO-TETHYS: CONSTRAINTS FROM RE-OS ISOTOPE AND HSE COMPOSITIONS OF THE XIGAZE OPHIOLITES,LITHOS,2020
"ZHANG, 2020",https://doi.org/10.1016/j.lithos.2020.105385,"ZHANG, H; ZHENG, J P; ZHOU, Y; PAN, S; XIONG, Q; LIN, A; ZHAO, Y",MESOZOIC LITHOSPHERIC MODIFICATION AND REPLACEMENT BENEATH THE CATHAYSIA BLOCK: MINERAL CHEMISTRY AND WATER CONTENTS OF THE DAOXIAN PERIDOTITE XENOLITHS,LITHOS,2020
"ZHANG, 2020",https://doi.org/10.1016/j.lithos.2020.105477,"ZHANG, C; LIU, C-Z; LIU, T; WU, F-Y",EVOLUTION OF MANTLE PERIDOTITES FROM THE LUOBUSA OPHIOLITE IN THE TIBETAN PLATEAU: SR-ND-HF-OS ISOTOPE CONSTRAINTS,LITHOS,2020
"ZHANG, 2020",https://doi.org/10.1130/g47064.1,"ZHANG, J-B; LIU, Y-S; DUCEA, M N; XU, R","ARCHEAN, HIGHLY UNRADIOGENIC LEAD IN SHALLOW CRATONIC MANTLE",GEOLOGY,2020
"HERBRICH, 2016",https://doi.org/10.1016/j.gca.2016.04.036,"HERBRICH, A; HAUFF, F; HOERNLE, K; WERNER, R; GARBE-SCHÖNBERG, D; WHITE, S M",A 1.5MA RECORD OF PLUME-RIDGE INTERACTION AT THE WESTERN GALÁPAGOS SPREADING CENTER (91°40'–92°00'W),GEOCHIM COSMOCHIM ACTA,2016
"NIU, 1999",https://doi.org/10.1029/1998JB900037,"NIU, Y; COLLERSON, K D; BATIZA, R; WENDT, J I; REGELOUS, M",ORIGIN OF ENRICHED-TYPE MID-OCEAN RIDGE BASALT AT RIDGES FAR FROM MANTLE PLUMES: THE EAST PACIFIC RISE AT 11 DEG 20 MIN N,J GEOPHYS RES,1999
"PETERSON, 2017",https://doi.org/10.1093/petrology/egx059,"PETERSON, M; SAAL, A E; KURZ, M D; HAURI, E H; BLUSZTAJN, J; HARPP, K S; WERNER, R; GEIST, D J",SUBMARINE BASALTIC GLASSES FROM THE GALAPAGOS ARCHIPELAGO: DETERMINING THE VOLATILE BUDGET OF THE MANTLE PLUME,JOURNAL OF PETROLOGY,2017
"SANFILIPPO, 2016",https://doi.org/10.1130/G37428.1,"SANFILIPPO, A; MORISHITA, T; SENDA, R",RHENIUM-OSMIUM ISOTOPE FRACTIONATION IN THE OCEANIC CRUST-MANTLE BOUNDARY,GEOLOGY,2016
"RICHTER, 2020",https://doi.org/10.1126/sciadv.abb4340,"RICHTER, M; NEBEL, O; MAAS, R; MATHER, B; NEBEL-JACOBSEN, Y; CAPITANIO, F; DICK, H J B; CAWOOD, P A","AN EARLY CRETACEOUS SUBDUCTION-MODIFIED MANTLE UNDERNEATH THE ULTRASLOW SPREADING GAKKEL RIDGE, ARCTIC OCEAN",SCIENCE ADVANCES,2020
"LESNOV, 2009",https://doi.org/10.1016/j.rgg.2009.11.005,"LESNOV, F P; KOZMENKO, O A; NIKOLAEVA, I V; PALESSKII, S V",RESIDENCE OF INCOMPATIBLE TRACE ELEMENTS IN A LARGE SPINEL LHERZOLITE XENOLITH FROM ALKALI BASALT OF SHAVARYN TSARAM-1 PALEOVOLCANO (WESTERN MONGOLIA),RUSSIAN GEOL GEOPHYS,2009
"STANDISH, 1998",https://doi.org/10.1007/s004100050443,"STANDISH, J-J; GEIST, D J; HARPP, K S; KURZ, M D","THE EMERGENCE OF A GALAPAGOS SHIELD VOLCANO, ROCA REDONDA",CONTRIB MINERAL PETROL,1998
"SECCHIARI, 2020",https://doi.org/10.1016/j.lithos.2019.105338,"SECCHIARI, A; GLEISSNER, P; LI, C; GONCHAROV, A G; MILKE, R; BECKER, H; BOSCH, D; MONTANINI, A",HIGHLY SIDEROPHILE AND CHALCOPHILE ELEMENT BEHAVIOUR IN ABYSSAL-TYPE AND SUPRA-SUBDUCTION ZONE MANTLE: NEW INSIGHTS FROM THE NEW CALEDONIA OPHIOLITE,LITHOS,2020
"SECCHIARI, 2020",https://doi.org/10.1016/j.gsf.2019.04.004,"SECCHIARI, A; MONTANINI, A; BOSCH, D; MACERA, P; CLUZEL, N","SR, ND, PB AND TRACE ELEMENT SYSTEMATICS OF THE NEW CALEDONIA HARZBURGITES: TRACKING SOURCE DEPLETION AND CONTAMINATION PROCESSES IN A SSZ SETTING",GEOSCIENCE FRONTIERS,2020
"DORENDORF, 2000",https://doi.org/10.1016/s0377-0273(00)00203-1,"DORENDORF, F; CHURIKOVA, T; KOLOSKOV, A; WOERNER, G",LATE PLEISTOCENE TO HOLOCENE ACTIVITY AT BAKENING VOLCANO AND SURROUNDING MONOGENETIC CENTERS (KAMCHATKA): VOLCANIC GEOLOGY AND GEOCHEMICAL EVOLUTION,JOURNAL OF VOLCANOLOGY AND GEOTHERMAL RESEARCH,2000
"HOERNLE, 2011",https://doi.org/10.1038/ngeo1331,"HOERNLE, K; HAUFF, F; WERNER, R; VAN DEN BOGAARD, P; GIBBONS, A D; CONRAD, S; MUELLER, R D",ORIGIN OF INDIAN OCEAN SEAMOUNT PROVINCE BY SHALLOW RECYCLING OF CONTINENTAL LITHOSPHERE,NATURE GEOSCIENCE,2011
"HOERNLE, 2011",https://doi.org/10.1016/j.epsl.2011.03.032,"HOERNLE, K; HAUFF, F; KOKFELT, T F; HAASE, K M; GARBE-SCHÖNBERG, D; WERNER, R",ON- AND OFF-AXIS CHEMICAL HETEROGENEITIES ALONG THE SOUTH ATLANTIC MID-OCEAN-RIDGE (5-11 DEG S): SHALLOW OR DEEP RECYCLING OF OCEAN CRUST AND/OR INTRAPLATE VOLCANISM?,EARTH PLANET SCI LETT,2011
"BIANCHINI, 2007",https://doi.org/10.1016/j.lithos.2006.06.008,"BIANCHINI, G; BECCALUVA, L; BONADIMAN, C; NOWELL, G M; PEARSON, D G; SIENA, F; WILSON, M","EVIDENCE OF DIVERSE DEPLETION AND METASOMATIC EVENTS IN HARZBURGITE-LHERZOLITE MANTLE XENOLITHS FROM THE IBERIAN PLATE (OLOT, NE SPAIN): IMPLICATIONS FOR LITHOSPHERE ACCRETIONARY PROCESSES",LITHOS,2007
"GARAPIC, 2015",https://doi.org/10.1016/j.lithos.2015.04.010,"GARAPIC, G; JACKSON, M G; HAURI, E H; HART, S R; FARLEY, K A; BLUSZTAJN, J; WOODHEAD, J D",A RADIOGENIC ISOTOPIC (HE-SR-ND-PB-OS) STUDY OF LAVAS FROM THE PITCAIRN HOTSPOT: IMPLICATIONS FOR THE ORIGIN OF EM-1 (ENRICHED MANTLE 1),LITHOS,2015
"BIRNER, 2017",https://doi.org/10.1093/petrology/egx072,"BIRNER, S; WARREN, J M; COTTRELL, E; DAVIS, F; KELLEY, K A; FALLOON, T J",FOREARC PERIDOTITES FROM TONGA RECORD HETEROGENEOUS OXIDATION OF THE MANTLE FOLLOWING SUBDUCTION INITIATION,JOURNAL OF PETROLOGY,2017
"KONRAD, 2017",https://doi.org/10.1016/j.chemgeo.2017.12.025,"KONRAD, K; GRAHAM, D W; KENT, A J R; KOPPERS, A",SPATIAL AND TEMPORAL VARIABILITY IN MARQUESAS ISLANDS VOLCANISM REVEALED BY  3 HE/ 4 HE AND THE COMPOSITION OF OLIVINE-HOSTED MELT INCLUSIONS,CHEMICAL GEOLOGY,2017
"ODRISCOLL, 2015",https://doi.org/10.1093/petrology/egv055,"ODRISCOLL, B; WALKER, R J; DAY, J M D; ASH, R D; DALY, J S","GENERATIONS OF MELT EXTRACTION, MELT–ROCK INTERACTION AND HIGH-TEMPERATURE METASOMATISM PRESERVED IN PERIDOTITES OF THE ~497 MA LEKA OPHIOLITE COMPLEX, NORWAY",J PETROL,2015
"ANDERSON, 2018",https://doi.org/10.1029/2018gc007632,"ANDERSON, M; WANLESS, V D; SCHWARTZ, D; MCCULLY, B L; FORNARI, D J; JONES, M; SOULE, S A",SUBMARINE DEEP-WATER LAVA FLOWS AT THE BASE OF THE WESTERN GALÁPAGOS PLATFORM,"GEOCHEMISTRY, GEOPHYSICS, GEOSYSTEMS",2018
"MAZZA, 2019",https://doi.org/10.1038/s41586-019-1183-6,"MAZZA, S; GAZEL, E; BIZIMIS, M; MOUCHA, R; BEGUELIN, P; JOHNSON, E; MCALEER, R; SOBOLEV, A V",SAMPLING THE VOLATILE-RICH TRANSITION ZONE BENEATH BERMUDA,NATURE,2019
"GREAU, 2011",https://doi.org/10.1016/j.gca.2011.08.035,"GREAU, Y; HUANG, J-X; GRIFFIN, W L; RENAC, C; ALARD, O; OREILLY, S Y",TYPE 1 ECLOGITES FROM ROBERTS VICTOR KIMBERLITES: PRODUCTS OF EXTENSIVE MANTLE METASOMATISM,GEOCHIM COSMOCHIM ACTA,2011
"COOPER, 2007",https://doi.org/10.2973/odp.proc.sr.206.010.2007,"COOPER, K M","DATA REPORT: TRACE ELEMENT ANALYSES IN WHOLE-ROCK BASEMENT SAMPLES, SITE 1256, ODP LEG 206.","PROC ODP, SCI RESULTS",2007
"ZHU, 2020",https://doi.org/10.1016/j.gca.2019.12.004,"ZHU, H; DU, L; LI, X; ZHANG, Z; SUN, W-D",CALCIUM ISOTOPIC FRACTIONATION DURING PLATE SUBDUCTION: CONSTRAINTS FROM BACK-ARC BASIN BASALTS,GEOCHIMICA ET COSMOCHIMICA ACTA,2020
"ERZINGER, 1985",https://doi.org/10.2973/dsdp.proc.92.128.1986,"ERZINGER, J","BASEMENT GEOCHEMISTRY, LEG 92",INIT REP DSDP,1985
"MILLER, 2004",https://doi.org/10.2973/odp.proc.sr.187.206.2004,"MILLER, D J; KELLEY, J",LOW-TEMPERATURE ALTERATION OF BASALT OVER TIME:  A SYNTHESIS OF RESULTS FROM OCEAN DRILLING PROGRAM LEG 187,"PROC ODP, SCI RESULTS",2004
"CHEN, 2017",https://doi.org/10.1016/j.jvolgeores.2017.09.024,"CHEN, S-S; LIU, J-Q; LEE, S-G; MENG, F","MINERAL AND GEOCHEMICAL CHARACTERISTICS FOR JURASSIC VOLCANIC ROCKS FROM ODP SITE 801C IN THE PIGAFETTA BASIN, WESTERN PACIFIC OCEAN: IMPLICATIONS FOR MAGMATIC EVOLUTION AT THE OLDEST FAST-SPREADING RIDGE",JOURNAL OF VOLCANOLOGY AND GEOTHERMAL RESEARCH,2017
"TODD, 2012",https://doi.org/10.1016/j.epsl.2012.05.006,"TODD, E; GILL, J B; PEARCE, J A","A VARIABLY ENRICHED MANTLE WEDGE AND CONTRASTING MELT TYPES DURING ARC STAGES FOLLOWING SUBDUCTION INITIATION IN FIJI AND TONGA, SOUTHWEST PACIFIC",EARTH PLANET SCI LETT,2012
"YU, 2019",https://doi.org/10.1016/j.epsl.2019.116002,"YU, X; DICK, H J B","PLATE-DRIVEN MICRO-HOTSPOTS AND THE EVOLUTION OF THE DRAGON FLAG MELTING ANOMALY, SOUTHWEST INDIAN RIDGE",EARTH AND PLANETARY SCIENCE LETTERS,2019
"GARRIDO, 2000",https://doi.org/10.1016/s0012-821x(00)00201-6,"GARRIDO, C J; BODINIER, J-L; ALARD, O",INCOMPATIBLE TRACE ELEMENT PARTITIONING AND RESIDENCE IN ANHYDROUS SPINEL PERIDOTITES AND WEBSTERITES FROM THE RONDA OROGENIC PERIDOTITE,EARTH PLANET SCI LETT,2000
"JICHA, 2018",https://doi.org/10.1016/j.jvolgeores.2018.06.016,"JICHA, B; KAY, S M",QUANTIFYING ARC MIGRATION AND THE ROLE OF FOREARC SUBDUCTION EROSION IN THE CENTRAL ALEUTIANS,JOURNAL OF VOLCANOLOGY AND GEOTHERMAL RESEARCH,2018
"DOUCELANCE, 2003",https://doi.org/10.1016/S0016-7037(03)00161-3,"DOUCELANCE, R; ESCRIG, S; MOREIRA, M; GARIEPY, C; KURZ, M D",Pb-Sr-He ISOTOPE AND TRACE ELEMENT GEOCHEMISTRY OF THE CAPE VERDE ARCHIPELAGO,GEOCHIM COSMOCHIM ACTA,2003
"KIMURA, 2010",https://doi.org/10.1029/2010GC003050,"KIMURA, J-I; KENT, A J R; ROWE, M C; KATAKUSE, M; NAKANO, F; HACKER, B R; VAN KEKEN, P E; KAWABATA, H; STERN, R J",ORIGIN OF CROSS-CHAIN GEOCHEMICAL VARIATION IN QUATERNARY LAVAS FROM THE NORTHERN IZU ARC: USING A QUANTITATIVE MASS BALANCE APPROACH TO IDENTIFY MANTLE SOURCES AND MANTLE WEDGE PROCESSES,GEOCHEM GEOPHYS GEOSYST,2010
"WEIS, 2002",https://doi.org/10.1093/petrology/43.7.1287,"WEIS, D; FREY, F A",SUBMARINE BASALTS OF THE NORTHERN KERGUELEN PLATEAU: INTERACTION BETWEEN THE KERGUUELEN PLUME AND THE SOUTHEAST INDIAN RIDGE REVEALED AT ODP SITE 1140,J PETROL,2002
"ZHANG, 2013",https://doi.org/10.1016/j.epsl.2013.09.045,"ZHANG, G-L; CHEN, L-H; LI, S-Z",MANTLE DYNAMICS AND GENERATION OF A GEOCHEMICAL MANTLE BOUNDARY ALONG THE EAST PACIFIC RIDGE-PACIFIC/ANTARCTIC RIDGE,EARTH PLANET SCI LETT,2013
"GIBSON, 2010",https://doi.org/10.1016/j.epsl.2010.10.002,"GIBSON, S A; GEIST, D J",GEOCHEMICAL AND GEOPHYSICAL ESTIMATES OF LITHOSPHERIC THICKNESS VARIATION BENEATH GALÁPAGOS,EARTH PLANET SCI LETT,2010
"GEORGE, 2004",https://doi.org/10.1093/petrology/egg086,"GEORGE, R; TURNER, S; HAWKESWORTH, C J; BACON, C; NYE, C L; STELLING, P; DREHER, S T",CHEMICAL VERSUS TEMPORAL CONTROLS ON THE EVOLUTION OF THOLEIITIC AND CALC-ALKALINE MAGMAS AT TWO VOLCANOES IN THE ALASKA-ALEUTIAN ARC,J PETROL,2004
